Infinitive,побыва́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,побыва́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,побыва́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,побыва́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,побыва́ю
2nd Sing,побыва́ешь
3rd Sing,побыва́ет
1st Pl,побыва́ем
2nd Pl,побыва́ете
3rd Pl,побыва́ют
Past M,побыва́л
Past F,побыва́ла
Past N,побыва́ло
Past PL,побыва́ли
Imp S,побыва́й
Imp PL,побыва́йте
