Infinitive,посы́паться
Zaliznyak Class,6a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,посы́павшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,посы́павшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,посы́плюсь
2nd Sing,посы́плешься
3rd Sing,посы́плется
1st Pl,посы́племся
2nd Pl,посы́плетесь
3rd Pl,посы́плются
Past M,посы́пался
Past F,посы́палась
Past N,посы́палось
Past PL,посы́пались
Imp S,посы́пься
Imp PL,посы́пьтесь
