Infinitive,потускне́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,потускне́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,потускне́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,потускне́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,потускне́ю
2nd Sing,потускне́ешь
3rd Sing,потускне́ет
1st Pl,потускне́ем
2nd Pl,потускне́ете
3rd Pl,потускне́ют
Past M,потускне́л
Past F,потускне́ла
Past N,потускне́ло
Past PL,потускне́ли
Imp S,потускне́й
Imp PL,потускне́йте
