Infinitive,позелене́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,позелене́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,позелене́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,позелене́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,позелене́ю
2nd Sing,позелене́ешь
3rd Sing,позелене́ет
1st Pl,позелене́ем
2nd Pl,позелене́ете
3rd Pl,позелене́ют
Past M,позелене́л
Past F,позелене́ла
Past N,позелене́ло
Past PL,позелене́ли
Imp S,позелене́й
Imp PL,позелене́йте
