Infinitive,почеса́ть
Zaliznyak Class,6c(-ё-)
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,почеса́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,почёсанный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,почеса́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,почеса́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,почешу́
2nd Sing,поче́шешь
3rd Sing,поче́шет
1st Pl,поче́шем
2nd Pl,поче́шете
3rd Pl,поче́шут
Past M,почеса́л
Past F,почеса́ла
Past N,почеса́ло
Past PL,почеса́ли
Imp S,почеши́
Imp PL,почеши́те
