Infinitive,похва́стать
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,похва́ставший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,похва́став
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,похва́ставши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,похва́стаю
2nd Sing,похва́стаешь
3rd Sing,похва́стает
1st Pl,похва́стаем
2nd Pl,похва́стаете
3rd Pl,похва́стают
Past M,похва́стал
Past F,похва́стала
Past N,похва́стало
Past PL,похва́стали
Imp S,похва́стай
Imp PL,похва́стайте
