Infinitive,поры́ться
Zaliznyak Class,12a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,поры́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,поры́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,поро́юсь
2nd Sing,поро́ешься
3rd Sing,поро́ется
1st Pl,поро́емся
2nd Pl,поро́етесь
3rd Pl,поро́ются
Past M,поры́лся
Past F,поры́лась
Past N,поры́лось
Past PL,поры́лись
Imp S,поро́йся
Imp PL,поро́йтесь
