Infinitive,подсо́хнуть
Zaliznyak Class,3°a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,подсо́хший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подсо́хши
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,подсо́хну
2nd Sing,подсо́хнешь
3rd Sing,подсо́хнет
1st Pl,подсо́хнем
2nd Pl,подсо́хнете
3rd Pl,подсо́хнут
Past M,подсо́х
Past F,подсо́хла
Past N,подсо́хло
Past PL,подсо́хли
Imp S,подсо́хни
Imp PL,подсо́хните
