Infinitive,поража́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,поража́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,поража́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,поража́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,поража́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,поража́юсь
2nd Sing,поража́ешься
3rd Sing,поража́ется
1st Pl,поража́емся
2nd Pl,поража́етесь
3rd Pl,поража́ются
Past M,поража́лся
Past F,поража́лась
Past N,поража́лось
Past PL,поража́лись
Imp S,поража́йся
Imp PL,поража́йтесь
