Infinitive,погна́ть
Zaliznyak Class,5c/c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,погна́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,по́гнанный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,погна́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,погна́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,погоню́
2nd Sing,пого́нишь
3rd Sing,пого́нит
1st Pl,пого́ним
2nd Pl,пого́ните
3rd Pl,пого́нят
Past M,погна́л
Past F,погнала́
Past N,погна́ло
Past PL,погна́ли
Imp S,погони́
Imp PL,погони́те
