Infinitive,понаде́яться
Zaliznyak Class,6a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,понаде́явшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,понаде́явшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,понаде́юсь
2nd Sing,понаде́ешься
3rd Sing,понаде́ется
1st Pl,понаде́емся
2nd Pl,понаде́етесь
3rd Pl,понаде́ются
Past M,понаде́ялся
Past F,понаде́ялась
Past N,понаде́ялось
Past PL,понаде́ялись
Imp S,понаде́йся
Imp PL,понаде́йтесь
