Infinitive,потащи́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,потащи́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,потащи́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,потащу́сь
2nd Sing,пота́щишься
3rd Sing,пота́щится
1st Pl,пота́щимся
2nd Pl,пота́щитесь
3rd Pl,пота́щатся
Past M,потащи́лся
Past F,потащи́лась
Past N,потащи́лось
Past PL,потащи́лись
Imp S,потащи́сь
Imp PL,потащи́тесь
