Infinitive,покати́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,покати́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,покати́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,покачу́сь
2nd Sing,пока́тишься
3rd Sing,пока́тится
1st Pl,пока́тимся
2nd Pl,пока́титесь
3rd Pl,пока́тятся
Past M,покати́лся
Past F,покати́лась
Past N,покати́лось
Past PL,покати́лись
Imp S,покати́сь
Imp PL,покати́тесь
