Infinitive,побежа́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,побежа́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,побежа́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,побежа́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,побегу́
2nd Sing,побежи́шь
3rd Sing,побежи́т
1st Pl,побежи́м
2nd Pl,побежи́те
3rd Pl,побегу́т
Past M,побежа́л
Past F,побежа́ла
Past N,побежа́ло
Past PL,побежа́ли
Imp S,побеги́
Imp PL,побеги́те
