Infinitive,пожелте́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,пожелте́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пожелте́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,пожелте́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,пожелте́ю
2nd Sing,пожелте́ешь
3rd Sing,пожелте́ет
1st Pl,пожелте́ем
2nd Pl,пожелте́ете
3rd Pl,пожелте́ют
Past M,пожелте́л
Past F,пожелте́ла
Past N,пожелте́ло
Past PL,пожелте́ли
Imp S,пожелте́й
Imp PL,пожелте́йте
