Infinitive,позво́лить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,позво́ливший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,позво́ленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,позво́лив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,позво́ливши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,позво́лю
2nd Sing,позво́лишь
3rd Sing,позво́лит
1st Pl,позво́лим
2nd Pl,позво́лите
3rd Pl,позво́лят
Past M,позво́лил
Past F,позво́лила
Past N,позво́лило
Past PL,позво́лили
Imp S,позво́ль
Imp PL,позво́льте
