Infinitive,полюбопы́тствовать
Zaliznyak Class,2a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,полюбопы́тствовавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,полюбопы́тствовав
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,полюбопы́тствовавши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,полюбопы́тствую
2nd Sing,полюбопы́тствуешь
3rd Sing,полюбопы́тствует
1st Pl,полюбопы́тствуем
2nd Pl,полюбопы́тствуете
3rd Pl,полюбопы́тствуют
Past M,полюбопы́тствовал
Past F,полюбопы́тствовала
Past N,полюбопы́тствовало
Past PL,полюбопы́тствовали
Imp S,полюбопы́тствуй
Imp PL,полюбопы́тствуйте
