Infinitive,поздра́вить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,поздра́вивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,поздра́вленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,поздра́вив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,поздра́вивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,поздра́влю
2nd Sing,поздра́вишь
3rd Sing,поздра́вит
1st Pl,поздра́вим
2nd Pl,поздра́вите
3rd Pl,поздра́вят
Past M,поздра́вил
Past F,поздра́вила
Past N,поздра́вило
Past PL,поздра́вили
Imp S,поздра́вь
Imp PL,поздра́вьте
