Infinitive,повоева́ть
Zaliznyak Class,2a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,повоева́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,повоева́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,повоева́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,повою́ю
2nd Sing,повою́ешь
3rd Sing,повою́ет
1st Pl,повою́ем
2nd Pl,повою́ете
3rd Pl,повою́ют
Past M,повоева́л
Past F,повоева́ла
Past N,повоева́ло
Past PL,повоева́ли
Imp S,повою́й
Imp PL,повою́йте
