Infinitive,пове́сить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,пове́сивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пове́шенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пове́сив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,пове́сивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,пове́шу
2nd Sing,пове́сишь
3rd Sing,пове́сит
1st Pl,пове́сим
2nd Pl,пове́сите
3rd Pl,пове́сят
Past M,пове́сил
Past F,пове́сила
Past N,пове́сило
Past PL,пове́сили
Imp S,пове́сь
Imp PL,пове́сьте
