Infinitive,полага́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,полага́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,полага́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,полага́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,полага́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,полага́юсь
2nd Sing,полага́ешься
3rd Sing,полага́ется
1st Pl,полага́емся
2nd Pl,полага́етесь
3rd Pl,полага́ются
Past M,полага́лся
Past F,полага́лась
Past N,полага́лось
Past PL,полага́лись
Imp S,полага́йся
Imp PL,полага́йтесь
