Infinitive,покрасне́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,покрасне́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,покрасне́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,покрасне́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,покрасне́ю
2nd Sing,покрасне́ешь
3rd Sing,покрасне́ет
1st Pl,покрасне́ем
2nd Pl,покрасне́ете
3rd Pl,покрасне́ют
Past M,покрасне́л
Past F,покрасне́ла
Past N,покрасне́ло
Past PL,покрасне́ли
Imp S,покрасне́й
Imp PL,покрасне́йте
