Infinitive,пошевели́ть
Zaliznyak Class,4b // 4c⑦
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,пошевели́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пошевелённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пошевели́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,пошевели́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,пошевелю́
2nd Sing,пошевели́шь
3rd Sing,пошевели́т
1st Pl,пошевели́м
2nd Pl,пошевели́те
3rd Pl,пошевеля́т
Past M,пошевели́л
Past F,пошевели́ла
Past N,пошевели́ло
Past PL,пошевели́ли
Imp S,пошевели́
Imp PL,пошевели́те
