Infinitive,подключа́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,подключа́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,подключа́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подключа́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,подключа́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,подключа́юсь
2nd Sing,подключа́ешься
3rd Sing,подключа́ется
1st Pl,подключа́емся
2nd Pl,подключа́етесь
3rd Pl,подключа́ются
Past M,подключа́лся
Past F,подключа́лась
Past N,подключа́лось
Past PL,подключа́лись
Imp S,подключа́йся
Imp PL,подключа́йтесь
