Infinitive,появля́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,появля́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,появля́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,появля́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,появля́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,появля́юсь
2nd Sing,появля́ешься
3rd Sing,появля́ется
1st Pl,появля́емся
2nd Pl,появля́етесь
3rd Pl,появля́ются
Past M,появля́лся
Past F,появля́лась
Past N,появля́лось
Past PL,появля́лись
Imp S,появля́йся
Imp PL,появля́йтесь
