Infinitive,поползти́
Zaliznyak Class,7b/b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,попо́лзший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,попо́лзши
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,поползу́
2nd Sing,поползёшь
3rd Sing,поползёт
1st Pl,поползём
2nd Pl,поползёте
3rd Pl,поползу́т
Past M,попо́лз
Past F,поползла́
Past N,поползло́
Past PL,поползли́
Imp S,поползи́
Imp PL,поползи́те
