Infinitive,поби́ть
Zaliznyak Class,11b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,поби́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,поби́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,поби́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,поби́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,побью́
2nd Sing,побьёшь
3rd Sing,побьёт
1st Pl,побьём
2nd Pl,побьёте
3rd Pl,побью́т
Past M,поби́л
Past F,поби́ла
Past N,поби́ло
Past PL,поби́ли
Imp S,побе́й
Imp PL,побе́йте
