Infinitive,повеле́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,повеле́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,повеле́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,повеле́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,повелю́
2nd Sing,повели́шь
3rd Sing,повели́т
1st Pl,повели́м
2nd Pl,повели́те
3rd Pl,повеля́т
Past M,повеле́л
Past F,повеле́ла
Past N,повеле́ло
Past PL,повеле́ли
Imp S,повели́
Imp PL,повели́те
