Infinitive,покуса́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,покуса́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,поку́санный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,покуса́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,покуса́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,покуса́ю
2nd Sing,покуса́ешь
3rd Sing,покуса́ет
1st Pl,покуса́ем
2nd Pl,покуса́ете
3rd Pl,покуса́ют
Past M,покуса́л
Past F,покуса́ла
Past N,покуса́ло
Past PL,покуса́ли
Imp S,покуса́й
Imp PL,покуса́йте
