Infinitive,помяну́ть
Zaliznyak Class,3c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,помяну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,помя́нутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,помяну́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,помяну́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,помяну́
2nd Sing,помя́нешь
3rd Sing,помя́нет
1st Pl,помя́нем
2nd Pl,помя́нете
3rd Pl,помя́нут
Past M,помяну́л
Past F,помяну́ла
Past N,помяну́ло
Past PL,помяну́ли
Imp S,помяни́
Imp PL,помяни́те
