Infinitive,постуча́ться
Zaliznyak Class,5b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,постуча́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,постуча́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,постучу́сь
2nd Sing,постучи́шься
3rd Sing,постучи́тся
1st Pl,постучи́мся
2nd Pl,постучи́тесь
3rd Pl,постуча́тся
Past M,постуча́лся
Past F,постуча́лась
Past N,постуча́лось
Past PL,постуча́лись
Imp S,постучи́сь
Imp PL,постучи́тесь
