Infinitive,подпра́вить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,подпра́вивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подпра́вленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подпра́вив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,подпра́вивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,подпра́влю
2nd Sing,подпра́вишь
3rd Sing,подпра́вит
1st Pl,подпра́вим
2nd Pl,подпра́вите
3rd Pl,подпра́вят
Past M,подпра́вил
Past F,подпра́вила
Past N,подпра́вило
Past PL,подпра́вили
Imp S,подпра́вь
Imp PL,подпра́вьте
