Infinitive,потаска́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,потаска́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пота́сканный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,потаска́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,потаска́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,потаска́ю
2nd Sing,потаска́ешь
3rd Sing,потаска́ет
1st Pl,потаска́ем
2nd Pl,потаска́ете
3rd Pl,потаска́ют
Past M,потаска́л
Past F,потаска́ла
Past N,потаска́ло
Past PL,потаска́ли
Imp S,потаска́й
Imp PL,потаска́йте
