Infinitive,почини́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,почини́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,почи́ненный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,почини́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,почини́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,починю́
2nd Sing,почи́нишь
3rd Sing,почи́нит
1st Pl,почи́ним
2nd Pl,почи́ните
3rd Pl,почи́нят
Past M,почини́л
Past F,почини́ла
Past N,почини́ло
Past PL,почини́ли
Imp S,почини́
Imp PL,почини́те
