Infinitive,поучи́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,поучи́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,поучи́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,поучу́сь
2nd Sing,поу́чишься
3rd Sing,поу́чится
1st Pl,поу́чимся
2nd Pl,поу́читесь
3rd Pl,поу́чатся
Past M,поучи́лся
Past F,поучи́лась
Past N,поучи́лось
Past PL,поучи́лись
Imp S,поучи́сь
Imp PL,поучи́тесь
