Infinitive,покоро́бить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,покоро́бивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,покоро́бленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,покоро́бив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,покоро́бивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,покоро́блю
2nd Sing,покоро́бишь
3rd Sing,покоро́бит
1st Pl,покоро́бим
2nd Pl,покоро́бите
3rd Pl,покоро́бят
Past M,покоро́бил
Past F,покоро́била
Past N,покоро́било
Past PL,покоро́били
Imp S,покоро́бь
Imp PL,покоро́бьте
