Infinitive,покори́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,покори́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,покори́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,покорю́сь
2nd Sing,покори́шься
3rd Sing,покори́тся
1st Pl,покори́мся
2nd Pl,покори́тесь
3rd Pl,покоря́тся
Past M,покори́лся
Past F,покори́лась
Past N,покори́лось
Past PL,покори́лись
Imp S,покори́сь
Imp PL,покори́тесь
