Infinitive,подбодри́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,подбодри́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подбодрённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подбодри́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,подбодри́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,подбодрю́
2nd Sing,подбодри́шь
3rd Sing,подбодри́т
1st Pl,подбодри́м
2nd Pl,подбодри́те
3rd Pl,подбодря́т
Past M,подбодри́л
Past F,подбодри́ла
Past N,подбодри́ло
Past PL,подбодри́ли
Imp S,подбодри́
Imp PL,подбодри́те
