Infinitive,потре́бовать
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,потре́бовавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,потре́бованный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,потре́бовав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,потре́бовавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,потре́бую
2nd Sing,потре́буешь
3rd Sing,потре́бует
1st Pl,потре́буем
2nd Pl,потре́буете
3rd Pl,потре́буют
Past M,потре́бовал
Past F,потре́бовала
Past N,потре́бовало
Past PL,потре́бовали
Imp S,потре́буй
Imp PL,потре́буйте
