Infinitive,покива́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,покива́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,покива́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,покива́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,покива́ю
2nd Sing,покива́ешь
3rd Sing,покива́ет
1st Pl,покива́ем
2nd Pl,покива́ете
3rd Pl,покива́ют
Past M,покива́л
Past F,покива́ла
Past N,покива́ло
Past PL,покива́ли
Imp S,покива́й
Imp PL,покива́йте
