Infinitive,получи́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,получи́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,получи́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,получу́сь
2nd Sing,полу́чишься
3rd Sing,полу́чится
1st Pl,полу́чимся
2nd Pl,полу́читесь
3rd Pl,полу́чатся
Past M,получи́лся
Past F,получи́лась
Past N,получи́лось
Past PL,получи́лись
Imp S,получи́сь
Imp PL,получи́тесь
