Infinitive,по́ртиться
Zaliznyak Class,4a[②]
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,по́ртящийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,по́ртившийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,по́ртясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,по́ртившись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,по́рчусь
2nd Sing,по́ртишься
3rd Sing,по́ртится
1st Pl,по́ртимся
2nd Pl,по́ртитесь
3rd Pl,по́ртятся
Past M,по́ртился
Past F,по́ртилась
Past N,по́ртилось
Past PL,по́ртились
Imp S,по́ртись
Imp PL,по́ртитесь
