Infinitive,подкра́сться
Zaliznyak Class,7b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,подкра́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подкра́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,подкраду́сь
2nd Sing,подкрадёшься
3rd Sing,подкрадётся
1st Pl,подкрадёмся
2nd Pl,подкрадётесь
3rd Pl,подкраду́тся
Past M,подкра́лся
Past F,подкра́лась
Past N,подкра́лось
Past PL,подкра́лись
Imp S,подкради́сь
Imp PL,подкради́тесь
