Infinitive,повида́ться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,повида́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,повида́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,повида́юсь
2nd Sing,повида́ешься
3rd Sing,повида́ется
1st Pl,повида́емся
2nd Pl,повида́етесь
3rd Pl,повида́ются
Past M,повида́лся
Past F,повида́лась
Past N,повида́лось
Past PL,повида́лись
Imp S,повида́йся
Imp PL,повида́йтесь
