Infinitive,пове́дать
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,пове́давший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пове́данный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пове́дав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,пове́давши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,пове́даю
2nd Sing,пове́даешь
3rd Sing,пове́дает
1st Pl,пове́даем
2nd Pl,пове́даете
3rd Pl,пове́дают
Past M,пове́дал
Past F,пове́дала
Past N,пове́дало
Past PL,пове́дали
Imp S,пове́дай
Imp PL,пове́дайте
