Infinitive,посчита́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,посчита́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,посчи́танный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,посчита́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,посчита́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,посчита́ю
2nd Sing,посчита́ешь
3rd Sing,посчита́ет
1st Pl,посчита́ем
2nd Pl,посчита́ете
3rd Pl,посчита́ют
Past M,посчита́л
Past F,посчита́ла
Past N,посчита́ло
Past PL,посчита́ли
Imp S,посчита́й
Imp PL,посчита́йте
