Infinitive,подплыва́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,подплыва́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,подплыва́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подплыва́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,подплыва́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,подплыва́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,подплыва́ю
2nd Sing,подплыва́ешь
3rd Sing,подплыва́ет
1st Pl,подплыва́ем
2nd Pl,подплыва́ете
3rd Pl,подплыва́ют
Past M,подплыва́л
Past F,подплыва́ла
Past N,подплыва́ло
Past PL,подплыва́ли
Imp S,подплыва́й
Imp PL,подплыва́йте
