Infinitive,понастро́ить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,понастро́ивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,понастро́енный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,понастро́ив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,понастро́ивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,понастро́ю
2nd Sing,понастро́ишь
3rd Sing,понастро́ит
1st Pl,понастро́им
2nd Pl,понастро́ите
3rd Pl,понастро́ят
Past M,понастро́ил
Past F,понастро́ила
Past N,понастро́ило
Past PL,понастро́или
Imp S,понастро́й
Imp PL,понастро́йте
