Infinitive,познако́миться
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,познако́мившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,познако́мившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,познако́млюсь
2nd Sing,познако́мишься
3rd Sing,познако́мится
1st Pl,познако́мимся
2nd Pl,познако́митесь
3rd Pl,познако́мятся
Past M,познако́мился
Past F,познако́милась
Past N,познако́милось
Past PL,познако́мились
Imp S,познако́мься
Imp PL,познако́мьтесь
