Infinitive,попа́сться
Zaliznyak Class,7b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,попа́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,попа́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,попаду́сь
2nd Sing,попадёшься
3rd Sing,попадётся
1st Pl,попадёмся
2nd Pl,попадётесь
3rd Pl,попаду́тся
Past M,попа́лся
Past F,попа́лась
Past N,попа́лось
Past PL,попа́лись
Imp S,попади́сь
Imp PL,попади́тесь
