Infinitive,покуша́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,покуша́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,покуша́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,покуша́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,покуша́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,покуша́юсь
2nd Sing,покуша́ешься
3rd Sing,покуша́ется
1st Pl,покуша́емся
2nd Pl,покуша́етесь
3rd Pl,покуша́ются
Past M,покуша́лся
Past F,покуша́лась
Past N,покуша́лось
Past PL,покуша́лись
Imp S,покуша́йся
Imp PL,покуша́йтесь
