Infinitive,понима́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,понима́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,понима́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,понима́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,понима́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,понима́юсь
2nd Sing,понима́ешься
3rd Sing,понима́ется
1st Pl,понима́емся
2nd Pl,понима́етесь
3rd Pl,понима́ются
Past M,понима́лся
Past F,понима́лась
Past N,понима́лось
Past PL,понима́лись
Imp S,понима́йся
Imp PL,понима́йтесь
