Infinitive,подсма́тривать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,подсма́тривающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,подсма́тривавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подсма́триваемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,подсма́тривая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,подсма́тривав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,подсма́тривавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,подсма́триваю
2nd Sing,подсма́триваешь
3rd Sing,подсма́тривает
1st Pl,подсма́триваем
2nd Pl,подсма́триваете
3rd Pl,подсма́тривают
Past M,подсма́тривал
Past F,подсма́тривала
Past N,подсма́тривало
Past PL,подсма́тривали
Imp S,подсма́тривай
Imp PL,подсма́тривайте
