Infinitive,подра́гивать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,подра́гивающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,подра́гивавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подра́гивая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,подра́гивав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,подра́гивавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,подра́гиваю
2nd Sing,подра́гиваешь
3rd Sing,подра́гивает
1st Pl,подра́гиваем
2nd Pl,подра́гиваете
3rd Pl,подра́гивают
Past M,подра́гивал
Past F,подра́гивала
Past N,подра́гивало
Past PL,подра́гивали
Imp S,подра́гивай
Imp PL,подра́гивайте
