Infinitive,посе́товать
Zaliznyak Class,2a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,посе́товавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,посе́товав
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,посе́товавши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,посе́тую
2nd Sing,посе́туешь
3rd Sing,посе́тует
1st Pl,посе́туем
2nd Pl,посе́туете
3rd Pl,посе́туют
Past M,посе́товал
Past F,посе́товала
Past N,посе́товало
Past PL,посе́товали
Imp S,посе́туй
Imp PL,посе́туйте
