Infinitive,повида́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,повида́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пови́данный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,повида́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,повида́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,повида́ю
2nd Sing,повида́ешь
3rd Sing,повида́ет
1st Pl,повида́ем
2nd Pl,повида́ете
3rd Pl,повида́ют
Past M,повида́л
Past F,повида́ла
Past N,повида́ло
Past PL,повида́ли
Imp S,повида́й
Imp PL,повида́йте
