Infinitive,поперхну́ться
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,поперхну́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,поперхну́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,поперхну́сь
2nd Sing,поперхнёшься
3rd Sing,поперхнётся
1st Pl,поперхнёмся
2nd Pl,поперхнётесь
3rd Pl,поперхну́тся
Past M,поперхну́лся
Past F,поперхну́лась
Past N,поперхну́лось
Past PL,поперхну́лись
Imp S,поперхни́сь
Imp PL,поперхни́тесь
