Infinitive,посчита́ться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,посчита́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,посчита́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,посчита́юсь
2nd Sing,посчита́ешься
3rd Sing,посчита́ется
1st Pl,посчита́емся
2nd Pl,посчита́етесь
3rd Pl,посчита́ются
Past M,посчита́лся
Past F,посчита́лась
Past N,посчита́лось
Past PL,посчита́лись
Imp S,посчита́йся
Imp PL,посчита́йтесь
