Infinitive,позолоти́ть
Zaliznyak Class,4b⑧
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,позолоти́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,позоло́ченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,позолоти́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,позолоти́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,позолочу́
2nd Sing,позолоти́шь
3rd Sing,позолоти́т
1st Pl,позолоти́м
2nd Pl,позолоти́те
3rd Pl,позолотя́т
Past M,позолоти́л
Past F,позолоти́ла
Past N,позолоти́ло
Past PL,позолоти́ли
Imp S,позолоти́
Imp PL,позолоти́те
