Infinitive,пона́добиться
Zaliznyak Class,4a[③]
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,пона́добившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пона́добившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,пона́доблюсь
2nd Sing,пона́добишься
3rd Sing,пона́добится
1st Pl,пона́добимся
2nd Pl,пона́добитесь
3rd Pl,пона́добятся
Past M,пона́добился
Past F,пона́добилась
Past N,пона́добилось
Past PL,пона́добились
Imp S,пона́добись
Imp PL,пона́добьтесь
