Infinitive,погорячи́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,погорячи́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,погорячи́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,погорячу́сь
2nd Sing,погорячи́шься
3rd Sing,погорячи́тся
1st Pl,погорячи́мся
2nd Pl,погорячи́тесь
3rd Pl,погоряча́тся
Past M,погорячи́лся
Past F,погорячи́лась
Past N,погорячи́лось
Past PL,погорячи́лись
Imp S,погорячи́сь
Imp PL,погорячи́тесь
