Infinitive,подпусти́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,подпусти́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подпу́щенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подпусти́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,подпусти́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,подпущу́
2nd Sing,подпу́стишь
3rd Sing,подпу́стит
1st Pl,подпу́стим
2nd Pl,подпу́стите
3rd Pl,подпу́стят
Past M,подпусти́л
Past F,подпусти́ла
Past N,подпусти́ло
Past PL,подпусти́ли
Imp S,подпусти́
Imp PL,подпусти́те
