Infinitive,полюби́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,полюби́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,полюби́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,полюблю́сь
2nd Sing,полю́бишься
3rd Sing,полю́бится
1st Pl,полю́бимся
2nd Pl,полю́битесь
3rd Pl,полю́бятся
Past M,полюби́лся
Past F,полюби́лась
Past N,полюби́лось
Past PL,полюби́лись
Imp S,полюби́сь
Imp PL,полюби́тесь
