Infinitive,повести́сь
Zaliznyak Class,7b/b⑨
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,пове́дшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,поведя́сь
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,пове́дшись
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,поведу́сь
2nd Sing,поведёшься
3rd Sing,поведётся
1st Pl,поведёмся
2nd Pl,поведётесь
3rd Pl,поведу́тся
Past M,повёлся
Past F,повела́сь
Past N,повело́сь
Past PL,повели́сь
Imp S,поведи́сь
Imp PL,поведи́тесь
